source,target,dist,street_name
231997454,846564261,22.02,Ramberg
231997454,373519537,19.02,Ramberg
1048680211,1048680355,6.71,Avenue du Gibet - Galgelaan
147587144,10253595926,16.53,Unnamed road
147587144,444721077,49.04,Unnamed road
147587145,147587146,39.32,Unnamed road
147587145,10253595926,18.66,Unnamed road
147587146,147581239,24.81,Unnamed road
147587146,147587145,39.32,Unnamed road
2261254225,11472841053,4.8,Unnamed road
2261254225,2261254226,8.06,Unnamed road
2261254226,2261254225,8.06,Unnamed road
2261254226,1259978541,8.85,Unnamed road
2261254227,2261254229,23.98,Unnamed road
2261254227,11472841053,13.07,Unnamed road
2261254228,1259978535,36.23,Unnamed road
2261254228,11472841054,12.73,Unnamed road
2261254228,2261254229,13.95,Unnamed road
2261254229,2261254228,13.95,Unnamed road
2261254229,2261254227,23.98,Unnamed road
1048680224,1048680211,7.35,Avenue du Gibet - Galgelaan
6242173038,1150602312,29.21,Kasteelpark Arenberg
6242173038,6242142768,0.97,Unnamed road
6242173038,7167916484,4.97,Unnamed road
1831862398,10937844034,42.75,Augustijnstraat
1831862398,10937844033,15.44,Augustijnstraat
13149533841,13149533842,38.29,Unnamed road
13149533842,13149533843,38.39,Unnamed road
12982157459,12982093294,15.39,Unnamed road
12982157460,12982157461,11.72,Unnamed road
12982157461,12982093299,23.4,Unnamed road
12982157461,12982157468,8.25,Unnamed road
12982157461,12982157460,11.72,Unnamed road
12982157461,12982093293,16.04,Unnamed road
12982157462,12982093293,15.51,Unnamed road
12982157464,12982157465,14.23,Unnamed road
12982157465,1116767164,3.3,Unnamed road
12982157465,12982157464,14.23,Unnamed road
12982157466,12982157475,8.98,Unnamed road
12982157467,12982157468,6.99,Unnamed road
12982157467,12982157475,7.36,Unnamed road
12982157468,12982157461,8.25,Unnamed road
12982157468,12982157467,6.99,Unnamed road
8355001496,876183150,14.27,Unnamed road
8355001496,4511819044,11.82,Unnamed road
12982157473,12982093298,7.51,Unnamed road
12982157473,12982157474,7.17,Unnamed road
12982157474,12982157473,7.17,Unnamed road
12982157474,12982093297,6.74,Unnamed road
12982157475,12982157467,7.36,Unnamed road
12982157475,12982157476,10.19,Unnamed road
12982157475,12982157466,8.98,Unnamed road
12982157475,1116767164,15.14,Unnamed road
12982157476,12982157475,10.19,Unnamed road
12982157476,12982093298,3.01,Unnamed road
12982157481,12982157482,27.6,Unnamed road
12982157482,12982157481,27.6,Unnamed road
12982157482,12982157483,3.33,Unnamed road
12982157483,12982157482,3.33,Unnamed road
12982157483,12982157484,10.95,Unnamed road
12982157484,12982157483,10.95,Unnamed road
12982157484,12982157485,3.1,Unnamed road
12982157485,12982157484,3.1,Unnamed road
12982157485,12982157486,2.86,Unnamed road
12982157486,12982157485,2.86,Unnamed road
12982157486,12982157487,3.26,Unnamed road
12982157487,12982157486,3.26,Unnamed road
12982157487,12982157490,2.7,Unnamed road
12982157488,12982157489,2.14,Unnamed road
12982157488,12982157490,2.13,Unnamed road
12982157489,12982093296,3.35,Unnamed road
12982157489,12982157488,2.14,Unnamed road
12982157490,12982157488,2.13,Unnamed road
12982157490,12982157487,2.7,Unnamed road
12982157490,849531749,8.0,Unnamed road
